iter	Passed	Remaining
0	1	121
1	1	97
2	3	116
3	4	115
4	6	126
5	8	130
6	10	138
7	12	143
8	13	135
9	15	135
10	16	137
11	18	137
12	20	136
13	22	135
14	23	135
15	24	130
16	26	129
17	27	127
18	29	126
19	31	125
20	32	123
21	33	119
22	34	116
23	36	115
24	37	112
25	38	110
26	41	111
27	42	110
28	44	108
29	45	107
30	47	105
31	49	104
32	49	101
33	51	99
34	52	98
35	54	96
36	56	95
37	57	94
38	59	92
39	60	90
40	61	89
41	62	86
42	63	84
43	65	83
44	66	81
45	67	79
46	68	77
47	69	75
48	71	74
49	72	72
50	73	70
51	74	68
52	75	66
53	76	64
54	76	62
55	77	60
56	78	59
57	79	57
58	80	55
59	80	53
60	81	52
61	82	50
62	83	48
63	83	47
64	84	45
65	85	43
66	85	42
67	86	40
68	87	39
69	88	37
70	88	36
71	89	34
72	90	33
73	90	31
74	91	30
75	92	29
76	93	27
77	93	26
78	94	25
79	94	23
80	95	22
81	96	21
82	97	19
83	97	18
84	98	17
85	99	16
86	100	14
87	100	13
88	101	12
89	102	11
90	102	10
91	103	9
92	104	7
93	105	6
94	105	5
95	106	4
96	107	3
97	107	2
98	108	1
99	109	0
